선수명,FA_직전년도,FA년도,구단명,포지션,투,타,인정년수,구분,FA등급,플레이년도,Age,G,PA,AB,R,H,2B,3B,HP,HR,RBI,SB,CS,BB,SO,GDP,SF,수비_필딩 RAA,수비_포지션 RAA,전체수비 RAA,oWAR,dWAR,연봉,비고,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM RANK,TEAM G,TEAM PA,TEAM AB,TEAM R,TEAM H,TEAM 2B,TEAM 3B,TEAM HP,TEAM HR,TEAM RBI,TEAM SB,TEAM CS,TEAM BB,TEAM SO,TEAM GDP,TEAM SF,TEAM 수비_필딩 RAA,TEAM 수비_포지션 RAA,TEAM 전체수비 RAA,TEAM oWAR,TEAM dWAR,TEAM 연봉
강민호,2014,2014,롯데,C,우투,우타,9.0,신규,A,2013,28.0,105.0,405.0,327.0,48.0,77.0,13.0,0.0,11.0,11.0,57.0,4.0,1.0,60.0,87.0,5.0,6.0,7.18,8.93,16.11,1.75,1.81,,고졸,잔류,4.0,75.0,5.0,128.0,4978.0,4289.0,556.0,1118.0,208.0,18.0,71.0,61.0,522.0,133.0,58.0,503.0,862.0,92.0,41.0,17.08,1.43,18.51,15.17,2.53,311900.0
강민호,2018,2018,롯데,C,우투,우타,4.0,재자격,A,2017,32.0,130.0,515.0,456.0,62.0,130.0,22.0,1.0,15.0,22.0,68.0,0.0,2.0,41.0,104.0,15.0,3.0,2.08,12.12,14.2,3.43,0.19,100000.0,고졸,이적,4.0,80.0,3.0,144.0,5671.0,4994.0,743.0,1425.0,250.0,17.0,112.0,151.0,697.0,92.0,44.0,457.0,1018.0,146.0,32.0,16.21,8.53,6.5,17.96,1.67,858600.0
강민호,2022,2022,삼성,C,우투,우타,4.0,재자격,C,2021,36.0,123.0,462.0,406.0,55.0,118.0,22.0,0.0,4.0,18.0,67.0,0.0,0.0,45.0,53.0,18.0,7.0,0.28,10.92,11.2,3.91,0.03,50000.0,3번째 FA,잔류,4.0,36.0,3.0,144.0,5552.0,4836.0,712.0,1292.0,204.0,18.0,55.0,133.0,669.0,116.0,44.0,545.0,902.0,98.0,68.0,-10.3,12.57,-19.22,18.47,-1.19,578200.0
강한울,2024,2024,삼성,3B,우투,좌타,7.0,신규,C,2023,32.0,72.0,240.0,212.0,30.0,46.0,7.0,2.0,0.0,0.0,10.0,1.0,3.0,20.0,54.0,4.0,2.0,2.81,0.21,3.02,-0.66,0.29,15000.0,대졸,잔류,2.0,3.0,8.0,144.0,5581.0,4912.0,636.0,1290.0,208.0,23.0,62.0,88.0,603.0,103.0,35.0,487.0,954.0,114.0,43.0,-15.16,-4.02,-21.28,15.69,-0.28,838000.0
고영민,2016,2016,두산,2B,우투,우타,9.0,신규,A,2015,31.0,41.0,77.0,67.0,13.0,22.0,1.0,0.0,3.0,3.0,11.0,4.0,2.0,6.0,22.0,4.0,1.0,-1.45,-0.64,-2.09,0.41,-0.13,7500.0,고졸,잔류,2.0,5.0,1.0,144.0,5759.0,4957.0,807.0,1436.0,254.0,22.0,99.0,140.0,770.0,111.0,47.0,567.0,820.0,139.0,60.0,4.5,-15.85,-3.26,29.31,0.42,588000.0
고종욱,2024,2024,KIA,LF,우투,좌타,9.0,자격유지,C,2023,34.0,114.0,286.0,270.0,35.0,80.0,17.0,0.0,0.0,3.0,39.0,2.0,2.0,14.0,58.0,3.0,2.0,-1.2,-3.84,-5.03,0.68,-0.12,7000.0,고졸,잔류,2.0,5.0,6.0,144.0,5607.0,4954.0,726.0,1365.0,224.0,21.0,46.0,101.0,673.0,122.0,34.0,500.0,957.0,115.0,44.0,10.65,18.24,1.88,24.07,0.89,494300.0
권용관,2014,2014,LG,SS,우투,우타,10.0,자격유지,A,2013,37.0,68.0,122.0,104.0,19.0,24.0,6.0,0.0,1.0,4.0,13.0,1.0,0.0,12.0,29.0,1.0,0.0,2.38,1.36,3.73,0.79,0.45,5500.0,고졸,잔류,1.0,1.0,3.0,128.0,4930.0,4287.0,615.0,1209.0,193.0,38.0,59.0,59.0,574.0,139.0,71.0,451.0,806.0,80.0,42.0,-14.07,2.68,-11.39,22.22,0.07,399500.0
권희동,2023,2023,NC,CF,우투,우타,7.0,신규,B,2022,32.0,82.0,280.0,238.0,30.0,54.0,5.0,1.0,8.0,5.0,22.0,2.0,1.0,31.0,44.0,3.0,1.0,1.16,-2.19,-1.02,0.52,0.12,11000.0,대졸,잔류,1.0,1.25,6.0,144.0,5585.0,4899.0,646.0,1260.0,230.0,15.0,88.0,105.0,613.0,100.0,39.0,501.0,981.0,112.0,47.0,-7.0,-6.71,-14.51,19.94,-0.72,823200.0
김강민,2020,2020,SK,CF,우투,우타,4.0,재자격,A,2019,37.0,127.0,460.0,422.0,54.0,114.0,14.0,2.0,4.0,8.0,50.0,15.0,8.0,31.0,103.0,2.0,3.0,5.12,0.0,5.12,1.06,0.53,40000.0,고졸,잔류,2.0,10.0,3.0,144.0,5542.0,4919.0,655.0,1290.0,218.0,14.0,87.0,117.0,622.0,118.0,50.0,462.0,966.0,92.0,38.0,2.07,6.82,-7.97,17.87,-0.09,626100.0
김경언,2015,2015,한화,RF,좌투,좌타,9.0,신규,A,2014,32.0,89.0,355.0,300.0,43.0,94.0,16.0,3.0,4.0,8.0,52.0,1.0,3.0,40.0,42.0,8.0,4.0,-2.73,-3.59,-6.32,1.57,-0.24,5800.0,고졸,잔류,3.0,8.5,9.0,128.0,5055.0,4417.0,619.0,1251.0,223.0,24.0,56.0,104.0,594.0,70.0,41.0,489.0,839.0,125.0,43.0,-26.72,-37.95,-35.82,11.41,-2.56,592300.0
