FA년도,구단명,선수명,포지션,투,타,인정년수,구분,FA등급,플레이년도,Age,G,PA,AB,R,H,2B,3B,HP,HR,RBI,SB,CS,BB,SO,GDP,SF,수비_필딩 RAA,수비_포지션 RAA,전체수비 RAA,oWAR,dWAR,연봉,비고,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM RANK,TEAM G,TEAM PA,TEAM AB,TEAM R,TEAM H,TEAM 2B,TEAM 3B,TEAM HP,TEAM HR,TEAM RBI,TEAM SB,TEAM CS,TEAM BB,TEAM SO,TEAM GDP,TEAM SF,TEAM 수비_필딩 RAA,TEAM 수비_포지션 RAA,TEAM 전체수비 RAA,TEAM oWAR,TEAM dWAR,TEAM 연봉
2011,롯데,강민호,C,우투,우타,9,신규,A,2010,25,117,465,410,66,125,19,1,8,23,72,2,7,42,65,16,5,1.74,9.48,11.21,3.67,0.35,,고졸,,,,4,,,,,,,,,,,,,,,,,,,,,,
2012,롯데,강민호,C,우투,우타,9,신규,A,2011,26,124,506,450,63,130,25,2,8,19,66,4,6,47,81,18,1,-1,11.72,10.73,3.9,0.23,,고졸,,,,3,,,,,,,,,,,,,,,,,,,,,,
2013,롯데,강민호,C,우투,우타,9,신규,A,2012,27,119,454,400,41,109,21,0,8,19,66,0,1,44,97,9,2,-1.68,9.16,7.48,3.76,0.65,,고졸,,,,4,133,5043,4481,509,1179,202,16,54,73,479,119,53,375,890,91,26,-41.49,13.36,-35.33,21.15,-3.15,289700
2014,롯데,강민호,C,우투,우타,9,신규,A,2013,28,105,405,327,48,77,13,0,11,11,57,4,1,60,87,5,6,7.18,8.93,16.11,1.75,1.81,,고졸,잔류,4,75,5,128,4978,4289,556,1118,208,18,71,61,522,133,58,503,862,92,41,17.08,1.43,18.51,15.17,2.53,311900
2015,롯데,강민호,C,우투,우타,4,FA 1년차,A,2014,29,98,360,310,37,71,14,2,13,16,40,1,2,33,92,6,4,4.54,8.09,12.63,1.2,0.4,100000,고졸,,,,7,128,5194,4487,716,1288,252,26,70,121,685,63,41,534,964,95,41,1.14,15.71,-6.57,16.88,0.1,510600
2016,롯데,강민호,C,우투,우타,4,재자격,A,2015,30,123,456,380,63,118,18,1,14,35,86,0,0,60,112,14,2,3.92,10.15,14.07,5.8,0.36,100000,고졸,,,,8,144,5680,4972,765,1393,254,19,68,177,727,104,50,532,1186,136,28,22.19,15.39,13.9,18.66,2.33,624400
2017,롯데,강민호,C,우투,우타,4,재자격,A,2016,31,116,460,381,65,123,26,0,10,20,72,4,0,66,91,7,3,4.17,7.78,11.95,4.93,0.37,100000,고졸,,,,8,144,5784,5001,777,1439,252,20,83,127,732,145,64,596,1061,120,41,-7.33,6.21,-16.83,17.82,-0.54,730200
2018,롯데,강민호,C,우투,우타,4,재자격,A,2017,32,130,515,456,62,130,22,1,15,22,68,0,2,41,104,15,3,2.08,12.12,14.2,3.43,0.19,100000,고졸,이적,4,80,3,144,5671,4994,743,1425,250,17,112,151,697,92,44,457,1018,146,32,16.21,8.53,6.5,17.96,1.67,858600
2019,삼성,강민호,C,우투,우타,4,FA 1년차,C,2018,33,129,477,427,46,115,14,0,14,22,71,0,0,29,96,11,7,-2.13,9.02,6.9,1.63,-0.19,125000,3번째 FA,,,,6,144,5766,5109,776,1471,241,29,87,146,732,116,52,468,1034,115,45,-21,1.16,-29.04,15.23,-1.88,598700
2020,삼성,강민호,C,우투,우타,4,재자격,C,2019,34,112,393,346,36,81,20,0,9,13,45,0,0,33,76,9,3,2.23,9.14,11.37,1.83,0.23,125000,3번째 FA,,,,8,144,5533,4866,622,1245,230,26,78,122,598,107,42,478,976,107,53,0.76,1.45,-6.85,15.84,0.08,619900
2021,삼성,강민호,C,우투,우타,4,재자격,C,2020,35,119,393,355,46,102,14,0,4,19,61,0,0,31,54,17,3,2.1,9.14,11.24,2.38,0.2,125000,3번째 FA,,,,8,144,5574,4923,699,1317,211,12,62,129,658,132,49,486,990,117,53,7.63,37.86,-0.69,12.29,0.72,548800
2022,삼성,강민호,C,우투,우타,4,재자격,C,2021,36,123,462,406,55,118,22,0,4,18,67,0,0,45,53,18,7,0.28,10.92,11.2,3.91,0.03,50000,3번째 FA,잔류,4,36,3,144,5552,4836,712,1292,204,18,55,133,669,116,44,545,902,98,68,-10.3,12.57,-19.22,18.47,-1.19,578200
2023,삼성,강민호,C,우투,우타,,FA 1년차,,2022,37,130,444,396,38,102,19,1,3,13,66,0,0,41,58,21,3,-0.42,6.29,5.87,1.86,-0.04,60000,,,,,7,144,5647,5023,663,1358,241,19,54,103,627,91,27,446,1029,119,41,-21.46,0.42,-28.41,18.17,-2.21,842300
2021,삼성,강한울,SS,우투,좌타,7,신규,C,2020,29,34,122,105,13,32,3,0,0,1,10,1,0,11,24,3,1,-1.39,1.77,0.38,0.72,-0.13,12000,대졸,,,,8,144,5574,4923,699,1317,211,12,62,129,658,132,49,486,990,117,53,7.63,37.86,-0.69,12.29,0.72,548800
2022,삼성,강한울,SS,우투,좌타,7,신규,C,2021,30,124,258,223,25,58,5,0,0,0,27,2,2,29,58,5,3,-4.81,1.35,-3.46,0.15,-0.48,12000,대졸,,,,3,144,5552,4836,712,1292,204,18,55,133,669,116,44,545,902,98,68,-10.3,12.57,-19.22,18.47,-1.19,578200
