FA년도,구단명,선수명,세부 포지션,투,구분,FA등급,플레이년도,나이,게임수,선발등판,구원등판,승리,패전,세이브,블론세이브,홀드,블론홀드,이닝수,자책점,피안타,2루타허용,3루타허용,피홈런,볼넷허용,사구허용,탈삼진,폭투,ERA,FIP,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,잔류 여부,FA 계약 연수,FA 계약 총액
2011,롯데,강영식,RP,좌투,자격유지,A,2010,29.0,63.0,0.0,63.0,3.0,3.0,2.0,3.0,7.0,0.0,52.2,26.0,50.0,6.0,4.0,6.0,24.0,1.0,58.0,5.0,4.44,3.4,0.0,52.2,0.0,1.09,1.09,12000.0,고졸,잔류,0.0,0.0
2012,롯데,강영식,RP,좌투,자격유지,A,2011,30.0,64.0,0.0,64.0,2.0,1.0,1.0,1.0,16.0,0.0,41.0,16.0,35.0,4.0,0.0,5.0,22.0,2.0,39.0,5.0,3.51,4.44,0.0,41.0,0.0,1.26,1.26,30000.0,고졸,잔류,0.0,0.0
2013,롯데,강영식,RP,좌투,자격유지,A,2012,31.0,55.0,0.0,55.0,2.0,0.0,0.0,0.0,10.0,0.0,41.2,18.0,41.0,8.0,1.0,2.0,19.0,0.0,49.0,2.0,3.89,2.38,0.0,41.2,0.0,0.66,0.66,30000.0,고졸,잔류,0.0,0.0
2014,롯데,강영식,RP,좌투,자격유지,A,2013,32.0,55.0,0.0,55.0,1.0,3.0,1.0,2.0,9.0,0.0,39.2,17.0,32.0,7.0,0.0,1.0,19.0,2.0,40.0,4.0,3.86,3.22,0.0,39.2,0.0,0.49,0.49,30000.0,고졸,잔류,4.0,17.0
2015,롯데,강영식,RP,좌투,FA 1년차,A,2014,33.0,52.0,0.0,52.0,2.0,5.0,0.0,4.0,14.0,0.0,47.0,25.0,46.0,8.0,1.0,4.0,24.0,2.0,42.0,4.0,4.79,4.75,0.0,47.0,0.0,1.18,1.18,30000.0,고졸,잔류,0.0,0.0
2020,NC,강윤구,RP,좌투,신규,C,2019,29.0,67.0,0.0,67.0,3.0,3.0,0.0,1.0,15.0,0.0,56.1,28.0,55.0,4.0,4.0,4.0,24.0,4.0,49.0,2.0,4.47,4.02,0.0,56.1,0.0,1.12,1.12,8500.0,고졸,잔류,0.0,0.0
2021,NC,강윤구,RP,좌투,신규,C,2020,30.0,30.0,0.0,30.0,1.0,1.0,0.0,0.0,3.0,1.0,21.0,16.0,31.0,7.0,0.0,3.0,11.0,0.0,15.0,2.0,6.86,5.53,0.0,21.0,0.0,0.06,0.06,15500.0,고졸,잔류,0.0,0.0
2022,롯데,강윤구,RP,좌투,신규,C,2021,31.0,22.0,1.0,21.0,0.0,1.0,0.0,1.0,3.0,0.0,16.0,15.0,21.0,4.0,0.0,3.0,14.0,1.0,15.0,0.0,8.44,6.37,2.0,14.0,-0.14,-0.18,-0.32,10000.0,고졸,잔류,0.0,0.0
2023,롯데,강윤구,RP,좌투,신규,C,2022,32.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,21.1,13.0,25.0,6.0,1.0,0.0,6.0,1.0,27.0,0.0,5.48,1.64,0.0,21.1,0.0,-0.01,-0.01,7300.0,고졸,은퇴,0.0,0.0
2017,KIA,고효준,RP,좌투,신규,A,2016,33.0,24.0,6.0,18.0,0.0,2.0,0.0,0.0,2.0,0.0,45.3,31.0,54.0,12.0,1.0,6.0,29.0,2.0,52.0,3.0,6.07,4.99,26.1,19.2,-0.39,-0.17,-0.56,8000.0,고졸,잔류,0.0,0.0
