iter	RMSE
0	58045.592
1	57441.77174
2	56938.17323
3	56263.84202
4	55672.14404
5	55130.0341
6	54488.60562
7	53987.04759
8	53436.30319
9	52874.99942
110	55319.1095711	51771.03401
12	51219.02252
13	50725.75398
14	50145.94662
15	49642.32671
16	49153.53729
17	48676.60707
18	48182.18727
19	47801.13731
20	47341.83527
21	46820.38695
22	46326.25454
23	45820.24917
24	45320.99848
25	44850.2605
26	44430.47408
27	43934.96592
28	43529.63208
29	43169.63034
30	42809.10054331	42385.72073332	41946.3136
33	41471.52132
34	41102.99202
35	40714.78076
36	42549.86737
37	42230.85383838	41822.69039	39	41379.40940	40	41049.37341	41	40779.4442	342	40386.21346
43	40050.3803
44	39644.20394
45	39294.98586
46	38980.14886
47	38717.08327
48	38352.56599
49	37948.38954
50	37582.80571
51	37220.04914
52	36906.00213
53	36610.38148
54	36285.29086
55	35951.68662
56	35705.82256
57	35377.27229
58	35030.10134
59	34628.91295
60	34314.34678
61	34020.99953
62	33759.77269
63	33470.1859
64	33144.50541
65	32882.73664
66	32581.12806
67	32311.60344
68	32046.77816
69	31738.11585
70	31537.62852
71	31220.58161
72	30951.74417
73	30751.99998
74	30389.60164
75	30069.27628
76	29793.17796
77	29528.63536
78	29303.18441
79	29087.75753
80	28880.93727
81	28641.44024
82	28430.97924
83	28209.20988
84	27989.22694
85	27710.86818
86	27538.88161
87	27346.92076
88	27068.42892
89	26872.30532
90	26652.99105
91	26437.83766
92	26202.93273
93	25954.54319
94	25769.68943
95	25629.95573
96	25407.37984
97	25198.18496
98	24976.51096
99	24740.45697
100	24570.03086
101	24379.25551
102	24181.00563
103	24023.12633
104	23843.56746
105	23606.12799
106	23462.23392
107	23280.64777
108	23083.00226
109	22998.72682
110	22819.99989
111	22650.44229
112	22500.36877
113	22286.96923
114	22132.51117
115	21956.57917
116	21812.93125
117	21663.05671
118	21493.94717
119	21308.49071
120	21146.11024
121	20977.62722
122	20852.35399
123	20689.60945
124	20502.48795
125	20363.81637
126	20164.60521
127	19987.23389
128	19848.25281
129	19699.71848
130	19535.26646
131	19355.81114
132	19190.39974
133	19056.1656
134	18940.63223
135	18808.7354
136	18675.34699
137	18526.38605
138	18373.4341
139	18254.60379
140	18167.40297
141	18021.40973
142	17885.58971
143	17738.87432
144	17616.17438
145	17482.95841
146	17378.45142
147	17237.09557
148	17096.4648
149	16975.89717
150	16852.09281
151	16712.3339
152	16589.9035
153	16472.15083
154	16346.44729
155	16226.81548
156	16109.62046
157	16006.44837
158	15886.20426
159	15775.83687
160	15636.52668
161	15518.46895
162	15404.16836
163	15309.2567
164	15225.8868
165	15113.12056
166	15026.57486
167	14911.95412
168	14804.40511
169	14694.14507
170	14585.3775
171	14481.54004
172	14379.8741
173	14259.15594
174	14185.31903
175	14070.54725
176	13969.26146
177	13861.68527
178	13734.44822
179	13639.39235
180	13548.35536
181	13412.33694
182	13301.12444
183	13168.94439
184	13063.50578
185	12974.83063
186	12864.37916
187	12761.65807
188	12681.24205
189	12575.66469
190	12511.09036
191	12409.00782
192	12332.88342
193	12232.4001
194	12157.5453
195	12062.32473
196	11993.33504
197	11895.67313
198	11814.94618
199	11715.38062
200	11611.04635
201	11516.63152
202	11423.28173
203	11346.80748
204	11270.11648
205	11181.36513
206	11079.67475
207	10993.3574
208	10902.52682
209	10806.73511
210	10710.50046
211	10619.82347
212	10536.85192
213	10436.87157
214	10346.21292
215	10282.36552
216	10192.86054
217	10100.13226
218	10019.23917
219	9940.955526
220	9863.194822
221	9786.491679
222	9695.930271
223	9603.872052
224	9516.644717
225	9441.33961
226	9363.162463
227	9282.22596
228	9199.438619
229	9129.546837
230	9071.084968
231	8993.740392
232	8920.684724
233	8861.392293
234	8784.34031
235	8704.944565
236	8637.877328
237	8571.870457
238	8511.09655
239	8453.1502
240	8377.419308
241	8305.736785
242	8222.925327
243	8143.892619
244	8077.515937
245	7994.833986
246	7926.912623
247	7856.29942
248	7786.794658
249	7745.896608
250	7667.601366
251	7604.352942
252	7534.999382
253	7491.794996
254	7436.765975
255	7372.311815
256	7327.123133
257	7276.052749
258	7229.176736
259	7180.272442
260	7141.669375
261	7085.112922
262	7032.376477
263	6970.211693
264	6927.905481
265	6879.352419
266	6831.01316
267	6777.219393
268	6722.35803
269	6666.635725
270	6606.087608
271	6556.25795
272	6506.711254
273	6470.297446
274	6427.268026
275	6391.35926
276	6348.037968
277	6286.42877
278	6242.442568
279	6188.883204
280	6142.555336
281	6085.677753
282	6044.299604
283	6010.734552
284	5961.021817
285	5919.607035
286	5865.150735
287	5819.522894
288	5780.970785
289	5733.465912
290	5694.663405
291	5639.386439
292	5601.815599
293	5563.575786
294	5525.384186
295	5480.223422
296	5441.188538
297	5397.436178
298	5359.107693
299	5325.511087
300	5288.312977
301	5249.639469
302	5205.573638
303	5165.763745
304	5132.265024
305	5096.488351
306	5060.387927
307	5015.681821
308	4974.225534
309	4933.67569
310	4899.637446
311	4869.341622
312	4834.371412
313	4801.304373
314	4770.114531
315	4734.023448
316	4696.108434
317	4664.262591
318	4631.149654
319	4602.51714
320	4569.755056
321	4539.680636
322	4499.316997
323	4469.190656
324	4434.546139
325	4401.806335
326	4370.811117
327	4344.114679
328	4308.760344
329	4273.682562
330	4245.513377
331	4207.554076
332	4179.304246
333	4145.643185
334	4118.656455
335	4085.782379
336	4061.348708
337	4025.213401
338	4001.295843
339	3975.694847
340	3952.295901
341	3929.160957
342	3900.17881
343	3877.483025
344	3855.043274
345	3832.641367
346	3810.58322
347	3786.857634
348	3764.947274
349	3732.000291
350	3708.937706
351	3687.928673
352	3655.608942
353	3624.44546
354	3593.740222
355	3573.141717
356	3543.104911
357	3522.941342
358	3502.972967
359	3472.71274
360	3442.98342
361	3415.032765
362	3391.921524
363	3372.778397
364	3344.227205
365	3320.037677
366	3292.491381
367	3273.98736
368	3247.039708
369	3221.220812
370	3195.731667
371	3170.194304
372	3144.762772
373	3118.629906
374	3094.008789
375	3073.388136
376	3048.837282
377	3023.783324
378	3000.187247
379	2980.28135
380	2960.631942
381	2941.236093
382	2917.879613
383	2894.808104
384	2871.225238
385	2852.541439
386	2830.492083
387	2812.178678
388	2794.102912
389	2772.149783
390	2749.780353
391	2732.966283
392	2711.577703
393	2690.821929
394	2671.682693
395	2652.763658
396	2634.062453
397	2615.576731
398	2597.304175
399	2579.242492
400	2561.389415
401	2537.666013
402	2518.37689
403	2501.012438
404	2477.992811
405	2460.98023
406	2438.473778
407	2418.352713
408	2399.485228
409	2380.089548
410	2358.87203
411	2338.979476
412	2320.894186
413	2301.465875
414	2281.113555
415	2262.86352
416	2244.891673
417	2227.194156
418	2210.526402
419	2194.232885
420	2176.167398
421	2159.167017
422	2143.363865
423	2126.751464
424	2111.297743
425	2095.064886
426	2079.662245
427	2066.407362
428	2051.560131
429	2036.701266
430	2023.808723
431	2008.472488
432	1998.995374
433	1984.574824
434	1972.129205
435	1962.910919
436	1949.02922
437	1939.997413
438	1927.906114
439	1919.044818
440	1908.547867
441	1894.220809
442	1879.708434
443	1871.165274
444	1857.011605
445	1843.541977
446	1830.579953
447	1822.340053
448	1807.638155
449	1795.25522
450	1781.523282
451	1769.028753
452	1763.128394
453	1757.489658
454	1745.308106
455	1739.751408
456	1734.250545
457	1720.472233
458	1715.049485
459	1709.681456
460	1698.092044
461	1686.425006
462	1673.923179
463	1660.412446
464	1648.179268
465	1637.685705
466	1630.703751
467	1624.748812
468	1618.859785
469	1613.035877
470	1602.043508
471	1596.596728
472	1591.219557
473	1580.625647
474	1575.354285
475	1564.949549
476	1559.933132
477	1548.32994
478	1537.048725
479	1532.015553
480	1527.046516
481	1516.032715
482	1511.169247
483	1500.126561
484	1489.426156
485	1484.710844
486	1480.05548
487	1469.187065
488	1459.65981
489	1455.120317
490	1449.918081
491	1445.475119
492	1436.127204
493	1424.798814
494	1420.459611
495	1409.344901
496	1405.087579
497	1400.892763
498	1391.511217
499	1380.71108
500	1373.237505
