iter	Passed	Remaining
0	144	144407
1	150	75048
2	157	52180
3	163	40686
4	170	33952
5	177	29453
6	185	26273
7	192	23824
8	198	21854
9	205	20393
10	209	18864
11	216	17852
12	224	17026
13	231	16288
14	239	15714
15	245	15074
16	253	14630
17	260	14203
18	266	13756
19	272	13375
20	279	13050
21	286	12740
22	294	12520
23	303	12325
24	310	12109
25	316	11866
26	323	11652
27	328	11420
28	338	11323
29	345	11177
30	353	11038
31	360	10901
32	367	10765
33	375	10671
34	381	10512
35	388	10402
36	390	10172
37	397	10056
38	404	9971
39	411	9876
40	419	9804
41	427	9754
42	435	9688
43	443	9644
44	449	9539
45	457	9478
46	464	9412
47	470	9339
48	478	9279
49	485	9221
50	492	9163
51	500	9131
52	509	9096
53	516	9053
54	524	9005
55	532	8972
56	539	8924
57	545	8864
58	552	8806
59	559	8761
60	567	8729
61	575	8703
62	582	8661
63	589	8617
64	596	8579
65	604	8551
66	611	8519
67	618	8473
68	621	8384
69	628	8354
70	636	8324
71	643	8291
72	651	8269
73	657	8224
74	665	8211
75	674	8195
76	683	8189
77	689	8150
78	696	8114
79	703	8092
80	709	8053
81	716	8020
82	723	7997
83	731	7974
84	734	7906
85	741	7877
86	748	7859
87	755	7827
88	762	7801
89	769	7784
90	776	7756
91	783	7733
92	790	7707
93	795	7667
94	802	7641
95	808	7617
96	815	7595
97	820	7547
98	827	7528
99	833	7498
100	838	7462
101	846	7448
102	852	7427
103	856	7382
104	865	7377
105	870	7345
106	875	7304
107	882	7288
108	889	7269
109	895	7247
110	902	7227
111	908	7203
112	914	7180
113	921	7158
114	927	7138
115	934	7122
116	940	7099
117	947	7080
118	953	7060
119	961	7047
120	966	7021
121	973	7005
122	978	6976
123	984	6951
124	990	6936
125	998	6926
126	1005	6913
127	1012	6898
128	1019	6884
129	1024	6856
130	1032	6846
131	1038	6826
132	1044	6811
133	1053	6807
134	1061	6798
135	1068	6788
136	1073	6761
137	1081	6753
138	1087	6737
139	1093	6719
140	1100	6706
141	1106	6686
142	1113	6670
143	1120	6659
144	1129	6657
145	1135	6639
146	1142	6627
147	1148	6614
148	1151	6577
149	1158	6564
150	1164	6549
151	1171	6537
152	1178	6522
153	1186	6515
154	1192	6502
155	1198	6485
156	1206	6477
157	1213	6466
158	1220	6453
159	1228	6451
160	1234	6435
161	1241	6423
162	1248	6411
163	1254	6394
164	1261	6381
165	1267	6368
166	1276	6366
167	1283	6355
168	1290	6347
169	1297	6337
170	1306	6333
171	1313	6323
172	1319	6308
173	1326	6295
174	1331	6279
175	1337	6264
176	1345	6256
177	1353	6250
178	1359	6237
179	1367	6228
180	1374	6220
181	1382	6212
182	1389	6204
183	1396	6190
184	1404	6185
185	1412	6181
186	1420	6175
187	1427	6166
188	1434	6157
189	1443	6152
190	1449	6137
191	1456	6130
192	1463	6119
193	1470	6109
194	1476	6093
195	1484	6088
196	1493	6088
197	1502	6086
198	1508	6072
199	1516	6066
200	1523	6054
201	1527	6033
202	1532	6015
203	1539	6007
204	1547	6001
205	1555	5994
206	1562	5986
207	1570	5978
