FA년도,구단명,선수명,포지션,투,타,인정년수,구분,FA등급,플레이년도,나이,게임수,타석수,타수,득점,안타,2루타,3루타,사구,홈런,타점,도루성공,도루실패,볼넷,삼진,병살타,희생플라이,평균대비수비득점기여,수비_포지션 RAA,전체수비 RAA,공격WAR,수비WAR,연봉,비고,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM 순위,TEAM 게임수,TEAM 타석수,TEAM 타수,TEAM 득점,TEAM 안타,TEAM 2루타,TEAM 3루타,TEAM 사구,TEAM 홈런,TEAM 타점,TEAM 도루,TEAM 도루실패,TEAM 볼넷,TEAM 삼진,TEAM 병살타,TEAM 희생플라이,TEAM 평균대비수비득점기여,TEAM 수비_포지션 RAA,TEAM 전체수비 RAA,TEAM 공격WAR,TEAM 수비WAR,TEAM 연봉,wRC+
2011,롯데,강민호,C,우투,우타,9.0,신규,A,2010,25.0,117.0,465.0,410.0,66.0,125.0,19.0,1.0,8.0,23.0,72.0,2.0,7.0,42.0,65.0,16.0,5.0,1.74,9.48,11.21,3.67,0.35,,고졸,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,134.4
2012,롯데,강민호,C,우투,우타,9.0,신규,A,2011,26.0,124.0,506.0,450.0,63.0,130.0,25.0,2.0,8.0,19.0,66.0,4.0,6.0,47.0,81.0,18.0,1.0,-1.0,11.72,10.73,3.9,0.23,,고졸,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,130.3
2013,롯데,강민호,C,우투,우타,9.0,신규,A,2012,27.0,119.0,454.0,400.0,41.0,109.0,21.0,0.0,8.0,19.0,66.0,0.0,1.0,44.0,97.0,9.0,2.0,-1.68,9.16,7.48,3.76,0.65,,고졸,,,,4.0,133.0,5043.0,4481.0,509.0,1179.0,202.0,16.0,54.0,73.0,479.0,119.0,53.0,375.0,890.0,91.0,26.0,-41.49,13.36,-35.33,21.15,-3.15,289700.0,132.9
2014,롯데,강민호,C,우투,우타,9.0,신규,A,2013,28.0,105.0,405.0,327.0,48.0,77.0,13.0,0.0,11.0,11.0,57.0,4.0,1.0,60.0,87.0,5.0,6.0,7.18,8.93,16.11,1.75,1.81,,고졸,잔류,4.0,75.0,5.0,128.0,4978.0,4289.0,556.0,1118.0,208.0,18.0,71.0,61.0,522.0,133.0,58.0,503.0,862.0,92.0,41.0,17.08,1.43,18.51,15.17,2.53,311900.0,99.2
2015,롯데,강민호,C,우투,우타,4.0,FA 1년차,A,2014,29.0,98.0,360.0,310.0,37.0,71.0,14.0,2.0,13.0,16.0,40.0,1.0,2.0,33.0,92.0,6.0,4.0,4.54,8.09,12.63,1.2,0.4,100000.0,고졸,,,,7.0,128.0,5194.0,4487.0,716.0,1288.0,252.0,26.0,70.0,121.0,685.0,63.0,41.0,534.0,964.0,95.0,41.0,1.14,15.71,-6.57,16.88,0.1,510600.0,85.0
2016,롯데,강민호,C,우투,우타,4.0,재자격,A,2015,30.0,123.0,456.0,380.0,63.0,118.0,18.0,1.0,14.0,35.0,86.0,0.0,0.0,60.0,112.0,14.0,2.0,3.92,10.15,14.07,5.8,0.36,100000.0,고졸,,,,8.0,144.0,5680.0,4972.0,765.0,1393.0,254.0,19.0,68.0,177.0,727.0,104.0,50.0,532.0,1186.0,136.0,28.0,22.19,15.39,13.9,18.66,2.33,624400.0,163.0
2017,롯데,강민호,C,우투,우타,4.0,재자격,A,2016,31.0,116.0,460.0,381.0,65.0,123.0,26.0,0.0,10.0,20.0,72.0,4.0,0.0,66.0,91.0,7.0,3.0,4.17,7.78,11.95,4.93,0.37,100000.0,고졸,,,,8.0,144.0,5784.0,5001.0,777.0,1439.0,252.0,20.0,83.0,127.0,732.0,145.0,64.0,596.0,1061.0,120.0,41.0,-7.33,6.21,-16.83,17.82,-0.54,730200.0,142.2
2018,롯데,강민호,C,우투,우타,4.0,재자격,A,2017,32.0,130.0,515.0,456.0,62.0,130.0,22.0,1.0,15.0,22.0,68.0,0.0,2.0,41.0,104.0,15.0,3.0,2.08,12.12,14.2,3.43,0.19,100000.0,고졸,이적,4.0,80.0,3.0,144.0,5671.0,4994.0,743.0,1425.0,250.0,17.0,112.0,151.0,697.0,92.0,44.0,457.0,1018.0,146.0,32.0,16.21,8.53,6.5,17.96,1.67,858600.0,107.3
2019,삼성,강민호,C,우투,우타,4.0,FA 1년차,C,2018,33.0,129.0,477.0,427.0,46.0,115.0,14.0,0.0,14.0,22.0,71.0,0.0,0.0,29.0,96.0,11.0,7.0,-2.13,9.02,6.9,1.63,-0.19,125000.0,3번째 FA,,,,6.0,144.0,5766.0,5109.0,776.0,1471.0,241.0,29.0,87.0,146.0,732.0,116.0,52.0,468.0,1034.0,115.0,45.0,-21.0,1.16,-29.04,15.23,-1.88,598700.0,84.0
2020,삼성,강민호,C,우투,우타,4.0,재자격,C,2019,34.0,112.0,393.0,346.0,36.0,81.0,20.0,0.0,9.0,13.0,45.0,0.0,0.0,33.0,76.0,9.0,3.0,2.23,9.14,11.37,1.83,0.23,125000.0,3번째 FA,,,,8.0,144.0,5533.0,4866.0,622.0,1245.0,230.0,26.0,78.0,122.0,598.0,107.0,42.0,478.0,976.0,107.0,53.0,0.76,1.45,-6.85,15.84,0.08,619900.0,91.6
